PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"31624239","Attention-deficit hyperactivity disorder shares copy number variant risk with schizophrenia and autism spectrum disorder","Gudmundsson OO, Walters GB, Ingason A, Johansson S, Zayats T, Athanasiu L, Sonderby IE, Gustafsson O, Nawaz MS, Jonsson GF, Jonsson L, Knappskog PM, Ingvarsdottir E, Davidsdottir K, Djurovic S, Knudsen GPS, Askeland RB, Haraldsdottir GS, Baldursson G, Magnusson P, Sigurdsson E, Gudbjartsson DF, Stefansson H, Andreassen OA, Haavik J, Reichborn-Kjennerud T, Stefansson K.","Transl Psychiatry. 2019 Oct 17;9(1):258. doi: 10.1038/s41398-019-0599-y.","Gudmundsson OO","Transl Psychiatry","2019","2019/10/19","PMC6797719","","10.1038/s41398-019-0599-y"
"30557783","Convergent microstructural brain changes across genetic models of autism spectrum disorder-A pilot study","Rowley PA, Guerrero-Gonzalez J, Alexander AL, Yu JJ.","Psychiatry Res Neuroimaging. 2019 Jan 30;283:83-91. doi: 10.1016/j.pscychresns.2018.12.007. Epub 2018 Dec 8.","Rowley PA","Psychiatry Res Neuroimaging","2019","2018/12/18","PMC6398946","NIHMS1516802","10.1016/j.pscychresns.2018.12.007"
"29045040","Neurexin gene family variants as risk factors for autism spectrum disorder","Wang J, Gong J, Li L, Chen Y, Liu L, Gu H, Luo X, Hou F, Zhang J, Song R.","Autism Res. 2018 Jan;11(1):37-43. doi: 10.1002/aur.1881. Epub 2017 Oct 16.","Wang J","Autism Res","2018","2017/10/19","","","10.1002/aur.1881"
"29703944","An integrative analysis of non-coding regulatory DNA variations associated with autism spectrum disorder","Williams SM, An JY, Edson J, Watts M, Murigneux V, Whitehouse AJO, Jackson CJ, Bellgrove MA, Cristino AS, Claudianos C.","Mol Psychiatry. 2019 Nov;24(11):1707-1719. doi: 10.1038/s41380-018-0049-x. Epub 2018 Apr 27.","Williams SM","Mol Psychiatry","2019","2018/04/29","","","10.1038/s41380-018-0049-x"
"31302032","Single cell analysis of autism patient with bi-allelic NRXN1-alpha deletion reveals skewed fate choice in neural progenitors and impaired neuronal functionality","Lam M, Moslem M, Bryois J, Pronk RJ, Uhlin E, Ellström ID, Laan L, Olive J, Morse R, Rönnholm H, Louhivuori L, Korol SV, Dahl N, Uhlén P, Anderlid BM, Kele M, Sullivan PF, Falk A.","Exp Cell Res. 2019 Oct 1;383(1):111469. doi: 10.1016/j.yexcr.2019.06.014. Epub 2019 Jul 12.","Lam M","Exp Cell Res","2019","2019/07/15","","","10.1016/j.yexcr.2019.06.014"
"22228009","Detection and characterization of copy number variation in autism spectrum disorder","Marshall CR, Scherer SW.","Methods Mol Biol. 2012;838:115-35. doi: 10.1007/978-1-61779-507-7_5.","Marshall CR","Methods Mol Biol","2012","2012/01/10","","","10.1007/978-1-61779-507-7_5"
"18252227","Structural variation of chromosomes in autism spectrum disorder","Marshall CR, Noor A, Vincent JB, Lionel AC, Feuk L, Skaug J, Shago M, Moessner R, Pinto D, Ren Y, Thiruvahindrapduram B, Fiebig A, Schreiber S, Friedman J, Ketelaars CE, Vos YJ, Ficicioglu C, Kirkpatrick S, Nicolson R, Sloman L, Summers A, Gibbons CA, Teebi A, Chitayat D, Weksberg R, Thompson A, Vardy C, Crosbie V, Luscombe S, Baatjes R, Zwaigenbaum L, Roberts W, Fernandez B, Szatmari P, Scherer SW.","Am J Hum Genet. 2008 Feb;82(2):477-88. doi: 10.1016/j.ajhg.2007.12.009. Epub 2008 Jan 17.","Marshall CR","Am J Hum Genet","2008","2008/02/07","PMC2426913","","10.1016/j.ajhg.2007.12.009"
"27184741","Neonatal inflammatory pain and systemic inflammatory responses as possible environmental factors in the development of autism spectrum disorder of juvenile rats","Lee JH, Espinera AR, Chen D, Choi KE, Caslin AY, Won S, Pecoraro V, Xu GY, Wei L, Yu SP.","J Neuroinflammation. 2016 May 16;13(1):109. doi: 10.1186/s12974-016-0575-x.","Lee JH","J Neuroinflammation","2016","2016/05/18","PMC4867541","","10.1186/s12974-016-0575-x"
"30190612","Rare variants in the genetic background modulate cognitive and developmental phenotypes in individuals carrying disease-associated variants","Pizzo L, Jensen M, Polyak A, Rosenfeld JA, Mannik K, Krishnan A, McCready E, Pichon O, Le Caignec C, Van Dijck A, Pope K, Voorhoeve E, Yoon J, Stankiewicz P, Cheung SW, Pazuchanics D, Huber E, Kumar V, Kember RL, Mari F, Curró A, Castiglia L, Galesi O, Avola E, Mattina T, Fichera M, Mandarà L, Vincent M, Nizon M, Mercier S, Bénéteau C, Blesson S, Martin-Coignard D, Mosca-Boidron AL, Caberg JH, Bucan M, Zeesman S, Nowaczyk MJM, Lefebvre M, Faivre L, Callier P, Skinner C, Keren B, Perrine C, Prontera P, Marle N, Renieri A, Reymond A, Kooy RF, Isidor B, Schwartz C, Romano C, Sistermans E, Amor DJ, Andrieux J, Girirajan S.","Genet Med. 2019 Apr;21(4):816-825. doi: 10.1038/s41436-018-0266-3. Epub 2018 Sep 7.","Pizzo L","Genet Med","2019","2018/09/08","PMC6405313","NIHMS1001390","10.1038/s41436-018-0266-3"
"24083347","Neurexins","Reissner C, Runkel F, Missler M.","Genome Biol. 2013;14(9):213. doi: 10.1186/gb-2013-14-9-213.","Reissner C","Genome Biol","2013","2013/10/03","PMC4056431","","10.1186/gb-2013-14-9-213"
"25131214","Phenotypic spectrum associated with PTCHD1 deletions and truncating mutations includes intellectual disability and autism spectrum disorder","Chaudhry A, Noor A, Degagne B, Baker K, Bok LA, Brady AF, Chitayat D, Chung BH, Cytrynbaum C, Dyment D, Filges I, Helm B, Hutchison HT, Jeng LJ, Laumonnier F, Marshall CR, Menzel M, Parkash S, Parker MJ; DDD Study, Raymond LF, Rideout AL, Roberts W, Rupps R, Schanze I, Schrander-Stumpel CT, Speevak MD, Stavropoulos DJ, Stevens SJ, Thomas ER, Toutain A, Vergano S, Weksberg R, Scherer SW, Vincent JB, Carter MT.","Clin Genet. 2015 Sep;88(3):224-33. doi: 10.1111/cge.12482. Epub 2014 Oct 14.","Chaudhry A","Clin Genet","2015","2014/08/19","","","10.1111/cge.12482"
"31893021","Increased Ca(2+) signaling in NRXN1α (+/-) neurons derived from ASD induced pluripotent stem cells","Avazzadeh S, McDonagh K, Reilly J, Wang Y, Boomkamp SD, McInerney V, Krawczyk J, Fitzgerald J, Feerick N, O'Sullivan M, Jalali A, Forman EB, Lynch SA, Ennis S, Cosemans N, Peeters H, Dockery P, O'Brien T, Quinlan LR, Gallagher L, Shen S.","Mol Autism. 2019 Dec 30;10:52. doi: 10.1186/s13229-019-0303-3. eCollection 2019.","Avazzadeh S","Mol Autism","2019","2020/01/02","PMC6937972","","10.1186/s13229-019-0303-3"
"21262241","The role of neurexins in schizophrenia and autistic spectrum disorder","Reichelt AC, Rodgers RJ, Clapcote SJ.","Neuropharmacology. 2012 Mar;62(3):1519-26. doi: 10.1016/j.neuropharm.2011.01.024. Epub 2011 Jan 22.","Reichelt AC","Neuropharmacology","2012","2011/01/26","","","10.1016/j.neuropharm.2011.01.024"
"27897003","DE NOVO MUTATIONS IN AUTISM IMPLICATE THE SYNAPTIC ELIMINATION NETWORK","Venkataraman GR, O'Connell C, Egawa F, Kashef-Haghighi D, Wall DP.","Pac Symp Biocomput. 2017;22:521-532. doi: 10.1142/9789813207813_0048.","Venkataraman GR","Pac Symp Biocomput","2017","2016/11/30","","","10.1142/9789813207813_0048"
"18419324","The possible interplay of synaptic and clock genes in autism spectrum disorders","Bourgeron T.","Cold Spring Harb Symp Quant Biol. 2007;72:645-54. doi: 10.1101/sqb.2007.72.020.","Bourgeron T","Cold Spring Harb Symp Quant Biol","2007","2008/04/19","","","10.1101/sqb.2007.72.020"
