PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31904117","SCN1A-related phenotypes: Epilepsy and beyond","Scheffer IE, Nabbout R.","Epilepsia. 2019 Dec;60 Suppl 3:S17-S24. doi: 10.1111/epi.16386.","Scheffer IE","Epilepsia","2019","2020/01/07","","","10.1111/epi.16386"
"30071822","Heterozygous deletion of SCN2A and SCN3A in a patient with autism spectrum disorder and Tourette syndrome: a case report","Nickel K, Tebartz van Elst L, Domschke K, Gläser B, Stock F, Endres D, Maier S, Riedel A.","BMC Psychiatry. 2018 Aug 2;18(1):248. doi: 10.1186/s12888-018-1822-8.","Nickel K","BMC Psychiatry","2018","2018/08/04","PMC6090917","","10.1186/s12888-018-1822-8"
"22914087","Autistic-like behaviour in Scn1a+/- mice and rescue by enhanced GABA-mediated neurotransmission","Han S, Tai C, Westenbroek RE, Yu FH, Cheah CS, Potter GB, Rubenstein JL, Scheuer T, de la Iglesia HO, Catterall WA.","Nature. 2012 Sep 20;489(7416):385-90. doi: 10.1038/nature11356. Epub 2012 Aug 22.","Han S","Nature","2012","2012/08/24","PMC3448848","NIHMS389654","10.1038/nature11356"
"26637798","Targeted DNA Sequencing from Autism Spectrum Disorder Brains Implicates Multiple Genetic Mechanisms","D'Gama AM, Pochareddy S, Li M, Jamuar SS, Reiff RE, Lam AN, Sestan N, Walsh CA.","Neuron. 2015 Dec 2;88(5):910-917. doi: 10.1016/j.neuron.2015.11.009.","D'Gama AM","Neuron","2015","2015/12/06","PMC4672379","NIHMS737967","10.1016/j.neuron.2015.11.009"
"22495309","Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations","O'Roak BJ, Vives L, Girirajan S, Karakoc E, Krumm N, Coe BP, Levy R, Ko A, Lee C, Smith JD, Turner EH, Stanaway IB, Vernot B, Malig M, Baker C, Reilly B, Akey JM, Borenstein E, Rieder MJ, Nickerson DA, Bernier R, Shendure J, Eichler EE.","Nature. 2012 Apr 4;485(7397):246-50. doi: 10.1038/nature10989.","O'Roak BJ","Nature","2012","2012/04/13","PMC3350576","NIHMS359279","10.1038/nature10989"
"32126198","Tau Reduction Prevents Key Features of Autism in Mouse Models","Tai C, Chang CW, Yu GQ, Lopez I, Yu X, Wang X, Guo W, Mucke L.","Neuron. 2020 May 6;106(3):421-437.e11. doi: 10.1016/j.neuron.2020.01.038. Epub 2020 Mar 2.","Tai C","Neuron","2020","2020/03/04","PMC7210056","NIHMS1568772","10.1016/j.neuron.2020.01.038"
"12610651","Sodium channels SCN1A, SCN2A and SCN3A in familial autism","Weiss LA, Escayg A, Kearney JA, Trudeau M, MacDonald BT, Mori M, Reichert J, Buxbaum JD, Meisler MH.","Mol Psychiatry. 2003 Feb;8(2):186-94. doi: 10.1038/sj.mp.4001241.","Weiss LA","Mol Psychiatry","2003","2003/03/01","","","10.1038/sj.mp.4001241"
"18302128","[Autism, epilepsy and genetics]","Muñoz-Yunta JA, Palau-Baduell M, Salvadó-Salvadó B, Valls-Santasusana A, Rosendo-Moreno N, Clofent-Torrentó M, Manchado F.","Rev Neurol. 2008;46 Suppl 1:S71-7.","Muñoz-Yunta JA","Rev Neurol","2008","2008/03/21","","",""
"27956748","Association of rare missense variants in the second intracellular loop of Na(V)1.7 sodium channels with familial autism","Rubinstein M, Patowary A, Stanaway IB, McCord E, Nesbitt RR, Archer M, Scheuer T, Nickerson D, Raskind WH, Wijsman EM, Bernier R, Catterall WA, Brkanac Z.","Mol Psychiatry. 2018 Feb;23(2):231-239. doi: 10.1038/mp.2016.222. Epub 2016 Dec 13.","Rubinstein M","Mol Psychiatry","2018","2016/12/14","PMC5468514","NIHMS823867","10.1038/mp.2016.222"
"19154521","Genetic calcium signaling abnormalities in the central nervous system: seizures, migraine, and autism","Gargus JJ.","Ann N Y Acad Sci. 2009 Jan;1151:133-56. doi: 10.1111/j.1749-6632.2008.03572.x.","Gargus JJ","Ann N Y Acad Sci","2009","2009/01/22","","","10.1111/j.1749-6632.2008.03572.x"
"27653866","Dravet syndrome with autism inherited from a paternal mosaic heterozygous mutation on SCN1A","Xiong Z, Yi L, Cao D, He W, Chen J, Gao S, Sun X.","J Neurol Sci. 2016 Oct 15;369:53-56. doi: 10.1016/j.jns.2016.07.038. Epub 2016 Jul 16.","Xiong Z","J Neurol Sci","2016","2016/09/23","","","10.1016/j.jns.2016.07.038"
"15620849","Paediatrics: genetic insights and long-term follow-up","Forsyth R.","Lancet Neurol. 2005 Jan;4(1):8. doi: 10.1016/S1474-4422(04)00947-0.","Forsyth R","Lancet Neurol","2005","2004/12/29","","","10.1016/S1474-4422(04)00947-0"
"24080482","Interstitial 2q24.3 deletion including SCN2A and SCN3A genes in a patient with autistic features, psychomotor delay, microcephaly and no history of seizures","Celle ME, Cuoco C, Porta S, Gimelli G, Tassano E.","Gene. 2013 Dec 15;532(2):294-6. doi: 10.1016/j.gene.2013.09.073. Epub 2013 Sep 28.","Celle ME","Gene","2013","2013/10/02","","","10.1016/j.gene.2013.09.073"
"15605469","Autism in several members of a family with generalized epilepsy with febrile seizures plus","Dixon-Salazar TJ, Keeler LC, Trauner DA, Gleeson JG.","J Child Neurol. 2004 Aug;19(8):597-603. doi: 10.1177/088307380401900806.","Dixon-Salazar TJ","J Child Neurol","2004","2004/12/21","","","10.1177/088307380401900806"
