PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"27824329","De novo genic mutations among a Chinese autism spectrum disorder cohort","Wang T, Guo H, Xiong B, Stessman HA, Wu H, Coe BP, Turner TN, Liu Y, Zhao W, Hoekzema K, Vives L, Xia L, Tang M, Ou J, Chen B, Shen Y, Xun G, Long M, Lin J, Kronenberg ZN, Peng Y, Bai T, Li H, Ke X, Hu Z, Zhao J, Zou X, Xia K, Eichler EE.","Nat Commun. 2016 Nov 8;7:13316. doi: 10.1038/ncomms13316.","Wang T","Nat Commun","2016","2016/11/09","PMC5105161","","10.1038/ncomms13316"
"28714951","Rates, distribution and implications of postzygotic mosaic mutations in autism spectrum disorder","Lim ET, Uddin M, De Rubeis S, Chan Y, Kamumbu AS, Zhang X, D'Gama AM, Kim SN, Hill RS, Goldberg AP, Poultney C, Minshew NJ, Kushima I, Aleksic B, Ozaki N, Parellada M, Arango C, Penzol MJ, Carracedo A, Kolevzon A, Hultman CM, Weiss LA, Fromer M, Chiocchetti AG, Freitag CM; Autism Sequencing Consortium, Church GM, Scherer SW, Buxbaum JD, Walsh CA.","Nat Neurosci. 2017 Sep;20(9):1217-1224. doi: 10.1038/nn.4598. Epub 2017 Jul 17.","Lim ET","Nat Neurosci","2017","2017/07/18","PMC5672813","NIHMS881982","10.1038/nn.4598"
"31230762","The Autism-Associated Gene Scn2a Contributes to Dendritic Excitability and Synaptic Function in the Prefrontal Cortex","Spratt PWE, Ben-Shalom R, Keeshen CM, Burke KJ Jr, Clarkson RL, Sanders SJ, Bender KJ.","Neuron. 2019 Aug 21;103(4):673-685.e5. doi: 10.1016/j.neuron.2019.05.037. Epub 2019 Jun 20.","Spratt PWE","Neuron","2019","2019/06/25","","","10.1016/j.neuron.2019.05.037"
"30071822","Heterozygous deletion of SCN2A and SCN3A in a patient with autism spectrum disorder and Tourette syndrome: a case report","Nickel K, Tebartz van Elst L, Domschke K, Gläser B, Stock F, Endres D, Maier S, Riedel A.","BMC Psychiatry. 2018 Aug 2;18(1):248. doi: 10.1186/s12888-018-1822-8.","Nickel K","BMC Psychiatry","2018","2018/08/04","PMC6090917","","10.1186/s12888-018-1822-8"
"31904117","SCN1A-related phenotypes: Epilepsy and beyond","Scheffer IE, Nabbout R.","Epilepsia. 2019 Dec;60 Suppl 3:S17-S24. doi: 10.1111/epi.16386.","Scheffer IE","Epilepsia","2019","2020/01/07","","","10.1111/epi.16386"
"31272037","Generation of an induced pluripotent stem cell line from a patient with autism spectrum disorder and SCN2A haploinsufficiency","Sampaio GLA, Martins GLS, Paredes BD, Nonaka CKV, da Silva KN, Rossi EA, Dos Santos RR, Soares MBP, Souza BSF.","Stem Cell Res. 2019 Aug;39:101488. doi: 10.1016/j.scr.2019.101488. Epub 2019 Jun 25.","Sampaio GLA","Stem Cell Res","2019","2019/07/05","","","10.1016/j.scr.2019.101488"
"28867142","Exonic Mosaic Mutations Contribute Risk for Autism Spectrum Disorder","Krupp DR, Barnard RA, Duffourd Y, Evans SA, Mulqueen RM, Bernier R, Rivière JB, Fombonne E, O'Roak BJ.","Am J Hum Genet. 2017 Sep 7;101(3):369-390. doi: 10.1016/j.ajhg.2017.07.016. Epub 2017 Aug 31.","Krupp DR","Am J Hum Genet","2017","2017/09/05","PMC5590950","","10.1016/j.ajhg.2017.07.016"
"28831199","Targeted sequencing and functional analysis reveal brain-size-related genes and their networks in autism spectrum disorders","Li J, Wang L, Guo H, Shi L, Zhang K, Tang M, Hu S, Dong S, Liu Y, Wang T, Yu P, He X, Hu Z, Zhao J, Liu C, Sun ZS, Xia K.","Mol Psychiatry. 2017 Sep;22(9):1282-1290. doi: 10.1038/mp.2017.140. Epub 2017 Jul 25.","Li J","Mol Psychiatry","2017","2017/08/24","","","10.1038/mp.2017.140"
"27478051","[Autism spectrum disorders and epilepsy]","Andoh M, Ikegaya Y, Koyama R.","Nihon Yakurigaku Zasshi. 2016 Aug;148(2):121-2. doi: 10.1254/fpj.148.121.","Andoh M","Nihon Yakurigaku Zasshi","2016","2016/08/02","","","10.1254/fpj.148.121"
"28256214","Opposing Effects on Na(V)1.2 Function Underlie Differences Between SCN2A Variants Observed in Individuals With Autism Spectrum Disorder or Infantile Seizures","Ben-Shalom R, Keeshen CM, Berrios KN, An JY, Sanders SJ, Bender KJ.","Biol Psychiatry. 2017 Aug 1;82(3):224-232. doi: 10.1016/j.biopsych.2017.01.009. Epub 2017 Jan 27.","Ben-Shalom R","Biol Psychiatry","2017","2017/03/04","PMC5796785","NIHMS847748","10.1016/j.biopsych.2017.01.009"
"30962870","Scn2a haploinsufficient mice display a spectrum of phenotypes affecting anxiety, sociability, memory flexibility and ampakine CX516 rescues their hyperactivity","Tatsukawa T, Raveau M, Ogiwara I, Hattori S, Miyamoto H, Mazaki E, Itohara S, Miyakawa T, Montal M, Yamakawa K.","Mol Autism. 2019 Mar 28;10:15. doi: 10.1186/s13229-019-0265-5. eCollection 2019.","Tatsukawa T","Mol Autism","2019","2019/04/10","PMC6437867","","10.1186/s13229-019-0265-5"
"31038196","Whole genome sequencing and variant discovery in the ASPIRE autism spectrum disorder cohort","Callaghan DB, Rogic S, Tan PPC, Calli K, Qiao Y, Baldwin R, Jacobson M, Belmadani M, Holmes N, Yu C, Li Y, Li Y, Kurtzke FE, Kuzeljevic B, Yu AY, Hudson M, Mcaughton AJM, Xu Y, Dionne-Laporte A, Girard S, Liang P, Separovic ER, Liu X, Rouleau G, Pavlidis P, Lewis MES.","Clin Genet. 2019 Sep;96(3):199-206. doi: 10.1111/cge.13556. Epub 2019 May 30.","Callaghan DB","Clin Genet","2019","2019/05/01","","","10.1111/cge.13556"
"29929112","Deletions of SCN2A and SCN3A genes in a patient with West syndrome and autistic spectrum disorder","Chong PF, Saitsu H, Sakai Y, Imagi T, Nakamura R, Matsukura M, Matsumoto N, Kira R.","Seizure. 2018 Aug;60:91-93. doi: 10.1016/j.seizure.2018.06.012. Epub 2018 Jun 13.","Chong PF","Seizure","2018","2018/06/22","","","10.1016/j.seizure.2018.06.012"
"30392976","Complete Disruption of Autism-Susceptibility Genes by Gene Editing Predominantly Reduces Functional Connectivity of Isogenic Human Neurons","Deneault E, White SH, Rodrigues DC, Ross PJ, Faheem M, Zaslavsky K, Wang Z, Alexandrova R, Pellecchia G, Wei W, Piekna A, Kaur G, Howe JL, Kwan V, Thiruvahindrapuram B, Walker S, Lionel AC, Pasceri P, Merico D, Yuen RKC, Singh KK, Ellis J, Scherer SW.","Stem Cell Reports. 2018 Nov 13;11(5):1211-1225. doi: 10.1016/j.stemcr.2018.10.003. Epub 2018 Nov 1.","Deneault E","Stem Cell Reports","2018","2018/11/06","PMC6235011","","10.1016/j.stemcr.2018.10.003"
"24387789","A de novo convergence of autism genetics and molecular neuroscience","Krumm N, O'Roak BJ, Shendure J, Eichler EE.","Trends Neurosci. 2014 Feb;37(2):95-105. doi: 10.1016/j.tins.2013.11.005. Epub 2013 Dec 30.","Krumm N","Trends Neurosci","2014","2014/01/07","PMC4077788","HHMIMS604508","10.1016/j.tins.2013.11.005"
"22495306","De novo mutations revealed by whole-exome sequencing are strongly associated with autism","Sanders SJ, Murtha MT, Gupta AR, Murdoch JD, Raubeson MJ, Willsey AJ, Ercan-Sencicek AG, DiLullo NM, Parikshak NN, Stein JL, Walker MF, Ober GT, Teran NA, Song Y, El-Fishawy P, Murtha RC, Choi M, Overton JD, Bjornson RD, Carriero NJ, Meyer KA, Bilguvar K, Mane SM, Sestan N, Lifton RP, Günel M, Roeder K, Geschwind DH, Devlin B, State MW.","Nature. 2012 Apr 4;485(7397):237-41. doi: 10.1038/nature10945.","Sanders SJ","Nature","2012","2012/04/13","PMC3667984","NIHMS467137","10.1038/nature10945"
"26637798","Targeted DNA Sequencing from Autism Spectrum Disorder Brains Implicates Multiple Genetic Mechanisms","D'Gama AM, Pochareddy S, Li M, Jamuar SS, Reiff RE, Lam AN, Sestan N, Walsh CA.","Neuron. 2015 Dec 2;88(5):910-917. doi: 10.1016/j.neuron.2015.11.009.","D'Gama AM","Neuron","2015","2015/12/06","PMC4672379","NIHMS737967","10.1016/j.neuron.2015.11.009"
"26749308","Genome Sequencing of Autism-Affected Families Reveals Disruption of Putative Noncoding Regulatory DNA","Turner TN, Hormozdiari F, Duyzend MH, McClymont SA, Hook PW, Iossifov I, Raja A, Baker C, Hoekzema K, Stessman HA, Zody MC, Nelson BJ, Huddleston J, Sandstrom R, Smith JD, Hanna D, Swanson JM, Faustman EM, Bamshad MJ, Stamatoyannopoulos J, Nickerson DA, McCallion AS, Darnell R, Eichler EE.","Am J Hum Genet. 2016 Jan 7;98(1):58-74. doi: 10.1016/j.ajhg.2015.11.023. Epub 2015 Dec 31.","Turner TN","Am J Hum Genet","2016","2016/01/11","PMC4716689","","10.1016/j.ajhg.2015.11.023"
"31501495","Na(V)1.2 haploinsufficiency in Scn2a knock-out mice causes an autistic-like phenotype attenuated with age","Léna I, Mantegazza M.","Sci Rep. 2019 Sep 9;9(1):12886. doi: 10.1038/s41598-019-49392-7.","Léna I","Sci Rep","2019","2019/09/11","PMC6733925","","10.1038/s41598-019-49392-7"
"25849321","Genes with de novo mutations are shared by four neuropsychiatric disorders discovered from NPdenovo database","Li J, Cai T, Jiang Y, Chen H, He X, Chen C, Li X, Shao Q, Ran X, Li Z, Xia K, Liu C, Sun ZS, Wu J.","Mol Psychiatry. 2016 Feb;21(2):290-7. doi: 10.1038/mp.2015.40. Epub 2015 Apr 7.","Li J","Mol Psychiatry","2016","2015/04/08","PMC4837654","NIHMS775440","10.1038/mp.2015.40"
"12610651","Sodium channels SCN1A, SCN2A and SCN3A in familial autism","Weiss LA, Escayg A, Kearney JA, Trudeau M, MacDonald BT, Mori M, Reichert J, Buxbaum JD, Meisler MH.","Mol Psychiatry. 2003 Feb;8(2):186-94. doi: 10.1038/sj.mp.4001241.","Weiss LA","Mol Psychiatry","2003","2003/03/01","","","10.1038/sj.mp.4001241"
"18302128","[Autism, epilepsy and genetics]","Muñoz-Yunta JA, Palau-Baduell M, Salvadó-Salvadó B, Valls-Santasusana A, Rosendo-Moreno N, Clofent-Torrentó M, Manchado F.","Rev Neurol. 2008;46 Suppl 1:S71-7.","Muñoz-Yunta JA","Rev Neurol","2008","2008/03/21","","",""
"18203167","A novel mutation in JARID1C/SMCX in a patient with autism spectrum disorder (ASD)","Adegbola A, Gao H, Sommer S, Browning M.","Am J Med Genet A. 2008 Feb 15;146A(4):505-11. doi: 10.1002/ajmg.a.32142.","Adegbola A","Am J Med Genet A","2008","2008/01/19","","","10.1002/ajmg.a.32142"
"27956748","Association of rare missense variants in the second intracellular loop of Na(V)1.7 sodium channels with familial autism","Rubinstein M, Patowary A, Stanaway IB, McCord E, Nesbitt RR, Archer M, Scheuer T, Nickerson D, Raskind WH, Wijsman EM, Bernier R, Catterall WA, Brkanac Z.","Mol Psychiatry. 2018 Feb;23(2):231-239. doi: 10.1038/mp.2016.222. Epub 2016 Dec 13.","Rubinstein M","Mol Psychiatry","2018","2016/12/14","PMC5468514","NIHMS823867","10.1038/mp.2016.222"
"31437449","Loss of Na(V)1.2-Dependent Backpropagating Action Potentials in Dendrites Contributes to Autism and Intellectual Disability","Kaczmarek LK.","Neuron. 2019 Aug 21;103(4):551-553. doi: 10.1016/j.neuron.2019.07.032.","Kaczmarek LK","Neuron","2019","2019/08/23","","","10.1016/j.neuron.2019.07.032"
"24080482","Interstitial 2q24.3 deletion including SCN2A and SCN3A genes in a patient with autistic features, psychomotor delay, microcephaly and no history of seizures","Celle ME, Cuoco C, Porta S, Gimelli G, Tassano E.","Gene. 2013 Dec 15;532(2):294-6. doi: 10.1016/j.gene.2013.09.073. Epub 2013 Sep 28.","Celle ME","Gene","2013","2013/10/02","","","10.1016/j.gene.2013.09.073"
"15605469","Autism in several members of a family with generalized epilepsy with febrile seizures plus","Dixon-Salazar TJ, Keeler LC, Trauner DA, Gleeson JG.","J Child Neurol. 2004 Aug;19(8):597-603. doi: 10.1177/088307380401900806.","Dixon-Salazar TJ","J Child Neurol","2004","2004/12/21","","","10.1177/088307380401900806"
"20346423","Array-CGH detection of a de novo 2.8 Mb deletion in 2q24.2-->q24.3 in a girl with autistic features and developmental delay","Chen CP, Lin SP, Chern SR, Chen YJ, Tsai FJ, Wu PC, Wang W.","Eur J Med Genet. 2010 Jul-Aug;53(4):217-20. doi: 10.1016/j.ejmg.2010.03.006. Epub 2010 Mar 24.","Chen CP","Eur J Med Genet","2010","2010/03/30","","","10.1016/j.ejmg.2010.03.006"
