PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28584888","Autism spectrum disorder: neuropathology and animal models","Varghese M, Keshav N, Jacot-Descombes S, Warda T, Wicinski B, Dickstein DL, Harony-Nicolas H, De Rubeis S, Drapeau E, Buxbaum JD, Hof PR.","Acta Neuropathol. 2017 Oct;134(4):537-566. doi: 10.1007/s00401-017-1736-4. Epub 2017 Jun 5.","Varghese M","Acta Neuropathol","2017","2017/06/07","PMC5693718","NIHMS882322","10.1007/s00401-017-1736-4"
"28179641","SHANK proteins: roles at the synapse and in autism spectrum disorder","Monteiro P, Feng G.","Nat Rev Neurosci. 2017 Mar;18(3):147-157. doi: 10.1038/nrn.2016.183. Epub 2017 Feb 9.","Monteiro P","Nat Rev Neurosci","2017","2017/02/10","","","10.1038/nrn.2016.183"
"29408620","Association between SHANK3 polymorphisms and susceptibility to autism spectrum disorder","Qiu S, Li Y, Li Y, Zhong W, Shi M, Zhao Q, Zhang K, Wang Y, Lu M, Zhu X, Jiang H, Yu Y, Cheng Y, Liu Y.","Gene. 2018 Apr 20;651:100-105. doi: 10.1016/j.gene.2018.01.078. Epub 2018 Feb 7.","Qiu S","Gene","2018","2018/02/07","","","10.1016/j.gene.2018.01.078"
"30522820","Mechanisms Underlying Microbial-Mediated Changes in Social Behavior in Mouse Models of Autism Spectrum Disorder","Sgritta M, Dooling SW, Buffington SA, Momin EN, Francis MB, Britton RA, Costa-Mattioli M.","Neuron. 2019 Jan 16;101(2):246-259.e6. doi: 10.1016/j.neuron.2018.11.018. Epub 2018 Dec 3.","Sgritta M","Neuron","2019","2018/12/08","PMC6645363","NIHMS1515263","10.1016/j.neuron.2018.11.018"
"29377611","Developmental social communication deficits in the Shank3 rat model of phelan-mcdermid syndrome and autism spectrum disorder","Berg EL, Copping NA, Rivera JK, Pride MC, Careaga M, Bauman MD, Berman RF, Lein PJ, Harony-Nicolas H, Buxbaum JD, Ellegood J, Lerch JP, Wöhr M, Silverman JL.","Autism Res. 2018 Apr;11(4):587-601. doi: 10.1002/aur.1925. Epub 2018 Jan 29.","Berg EL","Autism Res","2018","2018/01/30","PMC5903935","NIHMS933017","10.1002/aur.1925"
"28753255","Comprehensive analysis of two Shank3 and the Cacna1c mouse models of autism spectrum disorder","Kabitzke PA, Brunner D, He D, Fazio PA, Cox K, Sutphen J, Thiede L, Sabath E, Hanania T, Alexandrov V, Rasmusson R, Spooren W, Ghosh A, Feliciano P, Biemans B, Benedetti M, Clayton AL.","Genes Brain Behav. 2018 Jan;17(1):4-22. doi: 10.1111/gbb.12405. Epub 2017 Sep 5.","Kabitzke PA","Genes Brain Behav","2018","2017/07/29","","","10.1111/gbb.12405"
"31052177","Altered Intestinal Morphology and Microbiota Composition in the Autism Spectrum Disorders Associated SHANK3 Mouse Model","Sauer AK, Bockmann J, Steinestel K, Boeckers TM, Grabrucker AM.","Int J Mol Sci. 2019 Apr 30;20(9):2134. doi: 10.3390/ijms20092134.","Sauer AK","Int J Mol Sci","2019","2019/05/05","PMC6540607","","10.3390/ijms20092134"
"29787855","Dysbiosis of microbiome and probiotic treatment in a genetic model of autism spectrum disorders","Tabouy L, Getselter D, Ziv O, Karpuj M, Tabouy T, Lukic I, Maayouf R, Werbner N, Ben-Amram H, Nuriel-Ohayon M, Koren O, Elliott E.","Brain Behav Immun. 2018 Oct;73:310-319. doi: 10.1016/j.bbi.2018.05.015. Epub 2018 May 19.","Tabouy L","Brain Behav Immun","2018","2018/05/23","","","10.1016/j.bbi.2018.05.015"
"26602248","Genetic Animal Models for Autism Spectrum Disorder","Schroeder JC, Reim D, Boeckers TM, Schmeisser MJ.","Curr Top Behav Neurosci. 2017;30:311-324. doi: 10.1007/7854_2015_407.","Schroeder JC","Curr Top Behav Neurosci","2017","2015/11/26","","","10.1007/7854_2015_407"
"31185809","Understanding intellectual disability and autism spectrum disorders from common mouse models: synapses to behaviour","Verma V, Paul A, Amrapali Vishwanath A, Vaidya B, Clement JP.","Open Biol. 2019 Jun 28;9(6):180265. doi: 10.1098/rsob.180265. Epub 2019 Jun 12.","Verma V","Open Biol","2019","2019/06/13","PMC6597757","","10.1098/rsob.180265"
"31059729","Genetic mechanisms of regression in autism spectrum disorder","Tammimies K.","Neurosci Biobehav Rev. 2019 Jul;102:208-220. doi: 10.1016/j.neubiorev.2019.04.022. Epub 2019 May 3.","Tammimies K","Neurosci Biobehav Rev","2019","2019/05/07","","","10.1016/j.neubiorev.2019.04.022"
"25894671","Phelan-McDermid Syndrome and SHANK3: Implications for Treatment","Costales JL, Kolevzon A.","Neurotherapeutics. 2015 Jul;12(3):620-30. doi: 10.1007/s13311-015-0352-z.","Costales JL","Neurotherapeutics","2015","2015/04/21","PMC4489957","","10.1007/s13311-015-0352-z"
"26511836","Novel Therapeutic Approach for Autism Spectrum Disorder: Focus on SHANK3","Uchino S, Waga C.","Curr Neuropharmacol. 2015;13(6):786-92. doi: 10.2174/1570159x13666151029105547.","Uchino S","Curr Neuropharmacol","2015","2015/10/30","PMC4759317","","10.2174/1570159x13666151029105547"
"26966193","Autism-associated SHANK3 haploinsufficiency causes Ih channelopathy in human neurons","Yi F, Danko T, Botelho SC, Patzke C, Pak C, Wernig M, Südhof TC.","Science. 2016 May 6;352(6286):aaf2669. doi: 10.1126/science.aaf2669. Epub 2016 Mar 10.","Yi F","Science","2016","2016/03/12","PMC4901875","NIHMS789589","10.1126/science.aaf2669"
"28281572","Genome-wide copy number variation analysis in a Chinese autism spectrum disorder cohort","Guo H, Peng Y, Hu Z, Li Y, Xun G, Ou J, Sun L, Xiong Z, Liu Y, Wang T, Chen J, Xia L, Bai T, Shen Y, Tian Q, Hu Y, Shen L, Zhao R, Zhang X, Zhang F, Zhao J, Zou X, Xia K.","Sci Rep. 2017 Mar 10;7:44155. doi: 10.1038/srep44155.","Guo H","Sci Rep","2017","2017/03/11","PMC5345089","","10.1038/srep44155"
"30763456","Targeted resequencing of 358 candidate genes for autism spectrum disorder in a Chinese cohort reveals diagnostic potential and genotype-phenotype correlations","Zhou WZ, Zhang J, Li Z, Lin X, Li J, Wang S, Yang C, Wu Q, Ye AY, Wang M, Wang D, Pu TZ, Wu YY, Wei L.","Hum Mutat. 2019 Jun;40(6):801-815. doi: 10.1002/humu.23724. Epub 2019 Apr 29.","Zhou WZ","Hum Mutat","2019","2019/02/15","PMC6593842","","10.1002/humu.23724"
"26306707","Autism spectrum disorder in Phelan-McDermid syndrome: initial characterization and genotype-phenotype correlations","Oberman LM, Boccuto L, Cascio L, Sarasua S, Kaufmann WE.","Orphanet J Rare Dis. 2015 Aug 27;10:105. doi: 10.1186/s13023-015-0323-9.","Oberman LM","Orphanet J Rare Dis","2015","2015/08/27","PMC4549933","","10.1186/s13023-015-0323-9"
"26886798","Adult restoration of Shank3 expression rescues selective autistic-like phenotypes","Mei Y, Monteiro P, Zhou Y, Kim JA, Gao X, Fu Z, Feng G.","Nature. 2016 Feb 25;530(7591):481-4. doi: 10.1038/nature16971. Epub 2016 Feb 17.","Mei Y","Nature","2016","2016/02/18","PMC4898763","NIHMS749633","10.1038/nature16971"
"27478051","[Autism spectrum disorders and epilepsy]","Andoh M, Ikegaya Y, Koyama R.","Nihon Yakurigaku Zasshi. 2016 Aug;148(2):121-2. doi: 10.1254/fpj.148.121.","Andoh M","Nihon Yakurigaku Zasshi","2016","2016/08/02","","","10.1254/fpj.148.121"
"29700290","Brain region-specific disruption of Shank3 in mice reveals a dissociation for cortical and striatal circuits in autism-related behaviors","Bey AL, Wang X, Yan H, Kim N, Passman RL, Yang Y, Cao X, Towers AJ, Hulbert SW, Duffney LJ, Gaidis E, Rodriguiz RM, Wetsel WC, Yin HH, Jiang YH.","Transl Psychiatry. 2018 Apr 27;8(1):94. doi: 10.1038/s41398-018-0142-6.","Bey AL","Transl Psychiatry","2018","2018/04/28","PMC5919902","","10.1038/s41398-018-0142-6"
"30853900","Shank3 Transgenic and Prenatal Zinc-Deficient Autism Mouse Models Show Convergent and Individual Alterations of Brain Structures in MRI","Schoen M, Asoglu H, Bauer HF, Müller HP, Abaei A, Sauer AK, Zhang R, Song TJ, Bockmann J, Kassubek J, Rasche V, Grabrucker AM, Boeckers TM.","Front Neural Circuits. 2019 Feb 22;13:6. doi: 10.3389/fncir.2019.00006. eCollection 2019.","Schoen M","Front Neural Circuits","2019","2019/03/12","PMC6395436","","10.3389/fncir.2019.00006"
"21423165","Shank3 mutant mice display autistic-like behaviours and striatal dysfunction","Peça J, Feliciano C, Ting JT, Wang W, Wells MF, Venkatraman TN, Lascola CD, Fu Z, Feng G.","Nature. 2011 Apr 28;472(7344):437-42. doi: 10.1038/nature09965. Epub 2011 Mar 20.","Peça J","Nature","2011","2011/03/23","PMC3090611","NIHMS275551","10.1038/nature09965"
"27692350","[Epigenetics' implication in autism spectrum disorders: A review]","Hamza M, Halayem S, Mrad R, Bourgou S, Charfi F, Belhadj A.","Encephale. 2017 Aug;43(4):374-381. doi: 10.1016/j.encep.2016.07.007. Epub 2016 Sep 28.","Hamza M","Encephale","2017","2016/10/04","","","10.1016/j.encep.2016.07.007"
"29619162","CRISPR/Cas9-induced shank3b mutant zebrafish display autism-like behaviors","Liu CX, Li CY, Hu CC, Wang Y, Lin J, Jiang YH, Li Q, Xu X.","Mol Autism. 2018 Apr 2;9:23. doi: 10.1186/s13229-018-0204-x. eCollection 2018.","Liu CX","Mol Autism","2018","2018/04/06","PMC5879542","","10.1186/s13229-018-0204-x"
"27161151","Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism","Wang X, Bey AL, Katz BM, Badea A, Kim N, David LK, Duffney LJ, Kumar S, Mague SD, Hulbert SW, Dutta N, Hayrapetyan V, Yu C, Gaidis E, Zhao S, Ding JD, Xu Q, Chung L, Rodriguiz RM, Wang F, Weinberg RJ, Wetsel WC, Dzirasa K, Yin H, Jiang YH.","Nat Commun. 2016 May 10;7:11459. doi: 10.1038/ncomms11459.","Wang X","Nat Commun","2016","2016/05/11","PMC4866051","","10.1038/ncomms11459"
"30868621","Autism-associated Shank3 mutations alter mGluR expression and mGluR-dependent but not NMDA receptor-dependent long-term depression","Lee K, Vyas Y, Garner CC, Montgomery JM.","Synapse. 2019 Aug;73(8):e22097. doi: 10.1002/syn.22097. Epub 2019 Mar 23.","Lee K","Synapse","2019","2019/03/15","","","10.1002/syn.22097"
"29531362","Social deficits in Shank3-deficient mouse models of autism are rescued by histone deacetylase (HDAC) inhibition","Qin L, Ma K, Wang ZJ, Hu Z, Matas E, Wei J, Yan Z.","Nat Neurosci. 2018 Apr;21(4):564-575. doi: 10.1038/s41593-018-0110-8. Epub 2018 Mar 12.","Qin L","Nat Neurosci","2018","2018/03/14","PMC5876144","NIHMS941945","10.1038/s41593-018-0110-8"
"30064494","Single-molecule fluorescence in-situ hybridization reveals that human SHANK3 mRNA expression varies during development and in autism-associated SHANK3 heterozygosity","Taylor SE, Taylor RD, Price J, Andreae LC.","Stem Cell Res Ther. 2018 Jul 31;9(1):206. doi: 10.1186/s13287-018-0957-3.","Taylor SE","Stem Cell Res Ther","2018","2018/08/02","PMC6069870","","10.1186/s13287-018-0957-3"
"23583105","Modeling autism by SHANK gene mutations in mice","Jiang YH, Ehlers MD.","Neuron. 2013 Apr 10;78(1):8-27. doi: 10.1016/j.neuron.2013.03.016.","Jiang YH","Neuron","2013","2013/04/16","PMC3659167","NIHMS461771","10.1016/j.neuron.2013.03.016"
"31332372","Anterior cingulate cortex dysfunction underlies social deficits in Shank3 mutant mice","Guo B, Chen J, Chen Q, Ren K, Feng D, Mao H, Yao H, Yang J, Liu H, Liu Y, Jia F, Qi C, Lynn-Jones T, Hu H, Fu Z, Feng G, Wang W, Wu S.","Nat Neurosci. 2019 Aug;22(8):1223-1234. doi: 10.1038/s41593-019-0445-9. Epub 2019 Jul 22.","Guo B","Nat Neurosci","2019","2019/07/24","","","10.1038/s41593-019-0445-9"
"31398341","Targeting Peripheral Somatosensory Neurons to Improve Tactile-Related Phenotypes in ASD Models","Orefice LL, Mosko JR, Morency DT, Wells MF, Tasnim A, Mozeika SM, Ye M, Chirila AM, Emanuel AJ, Rankin G, Fame RM, Lehtinen MK, Feng G, Ginty DD.","Cell. 2019 Aug 8;178(4):867-886.e24. doi: 10.1016/j.cell.2019.07.024.","Orefice LL","Cell","2019","2019/08/10","PMC6704376","NIHMS1534970","10.1016/j.cell.2019.07.024"
"28414301","Striatopallidal dysfunction underlies repetitive behavior in Shank3-deficient model of autism","Wang W, Li C, Chen Q, van der Goes MS, Hawrot J, Yao AY, Gao X, Lu C, Zang Y, Zhang Q, Lyman K, Wang D, Guo B, Wu S, Gerfen CR, Fu Z, Feng G.","J Clin Invest. 2017 May 1;127(5):1978-1990. doi: 10.1172/JCI87997. Epub 2017 Apr 17.","Wang W","J Clin Invest","2017","2017/04/18","PMC5409790","","10.1172/JCI87997"
"31061091","Deletion of Autism Risk Gene Shank3 Disrupts Prefrontal Connectivity","Pagani M, Bertero A, Liska A, Galbusera A, Sabbioni M, Barsotti N, Colenbier N, Marinazzo D, Scattoni ML, Pasqualetti M, Gozzi A.","J Neurosci. 2019 Jul 3;39(27):5299-5310. doi: 10.1523/JNEUROSCI.2529-18.2019. Epub 2019 May 6.","Pagani M","J Neurosci","2019","2019/05/08","PMC6607754","","10.1523/JNEUROSCI.2529-18.2019"
"30089781","22q13 deletion syndrome: communication disorder or autism? Evidence from a specific clinical and neurophysiological phenotype","Ponson L, Gomot M, Blanc R, Barthelemy C, Roux S, Munnich A, Romana S, Aguillon-Hernandez N, Malan V, Bonnet-Brilhault F.","Transl Psychiatry. 2018 Aug 8;8(1):146. doi: 10.1038/s41398-018-0212-9.","Ponson L","Transl Psychiatry","2018","2018/08/10","PMC6082846","","10.1038/s41398-018-0212-9"
"26975830","[Research advances in candidate genes for autism spectrum disorder]","Yang ZL, Sun GL.","Zhongguo Dang Dai Er Ke Za Zhi. 2016 Mar;18(3):282-7. doi: 10.7499/j.issn.1008-8830.2016.03.018.","Yang ZL","Zhongguo Dang Dai Er Ke Za Zhi","2016","2016/03/16","PMC7390002","","10.7499/j.issn.1008-8830.2016.03.018"
"30629339","SHANK1 polymorphisms and SNP-SNP interactions among SHANK family: A possible cue for recognition to autism spectrum disorder in infant age","Qiu S, Li Y, Bai Y, Shi J, Cui H, Gu Y, Ren Y, Zhao Q, Zhang K, Lu M, Wang Y, Li Y, Zhong W, Zhu X, Liu Y, Cheng Y, Qiao Y, Liu Y.","Autism Res. 2019 Mar;12(3):375-383. doi: 10.1002/aur.2065. Epub 2019 Jan 10.","Qiu S","Autism Res","2019","2019/01/11","","","10.1002/aur.2065"
"30797034","Home-cage hypoactivity in mouse genetic models of autism spectrum disorder","Angelakos CC, Tudor JC, Ferri SL, Jongens TA, Abel T.","Neurobiol Learn Mem. 2019 Nov;165:107000. doi: 10.1016/j.nlm.2019.02.010. Epub 2019 Feb 20.","Angelakos CC","Neurobiol Learn Mem","2019","2019/02/24","PMC6913530","NIHMS1056957","10.1016/j.nlm.2019.02.010"
"26489495","Case report: an unexpected link between partial deletion of the SHANK3 gene and Heller's dementia infantilis, a rare subtype of autism spectrum disorder","Philippe A, Craus Y, Rio M, Bahi-Buisson N, Boddaert N, Malan V, Bonnefont JP, Robel L.","BMC Psychiatry. 2015 Oct 21;15:256. doi: 10.1186/s12888-015-0631-6.","Philippe A","BMC Psychiatry","2015","2015/10/23","PMC4618364","","10.1186/s12888-015-0631-6"
"27492494","Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function","Jaramillo TC, Speed HE, Xuan Z, Reimers JM, Escamilla CO, Weaver TP, Liu S, Filonova I, Powell CM.","Autism Res. 2017 Jan;10(1):42-65. doi: 10.1002/aur.1664. Epub 2016 Aug 5.","Jaramillo TC","Autism Res","2017","2016/08/06","PMC5274551","NIHMS815282","10.1002/aur.1664"
