,#clustering method,cluster number,cluster color,gene count,protein name,protein identifier,protein description
61,MCL,2,Orange,41,AGAP2,9606.ENSP00000449241,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2; GTPase-activating protein (GAP) for ARF1 and ARF5, which also shows strong GTPase activity. Isoform 1 participates in the prevention of neuronal apoptosis by enhancing PI3 kinase activity. It aids the coupling of metabotropic glutamate receptor 1 (GRM1) to cytoplasmic PI3 kinase by interacting with Homer scaffolding proteins, and also seems to mediate anti-apoptotic effects of NGF by activating nuclear PI3 kinase. Isoform 2 does not stimulate PI3 kinase but may protect cells from apoptosis by stimulating Akt. It also r [...] "
62,MCL,2,Orange,41,CAMK2A,9606.ENSP00000381412,Calcium/calmodulin-dependent protein kinase type II subunit alpha; CaM-kinase II (CAMK2) is a prominent kinase in the central nervous system that may function in long-term potentiation and neurotransmitter release. Member of the NMDAR signaling complex in excitatory synapses it may regulate NMDAR-dependent potentiation of the AMPAR and synaptic plasticity (By similarity). Phosphorylates transcription factor FOXO3 on 'Ser-298'. Activates FOXO3 transcriptional activity (By similarity); Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily
63,MCL,2,Orange,41,CAMK2B,9606.ENSP00000379098,"Calcium/calmodulin-dependent protein kinase type II subunit beta; Calcium/calmodulin-dependent protein kinase that functions autonomously after Ca(2+)/calmodulin-binding and autophosphorylation, and is involved in dendritic spine and synapse formation, neuronal plasticity and regulation of sarcoplasmic reticulum Ca(2+) transport in skeletal muscle. In neurons, plays an essential structural role in the reorganization of the actin cytoskeleton during plasticity by binding and bundling actin filaments in a kinase-independent manner. This structural function is required for correct targeti [...] "
64,MCL,2,Orange,41,CASK,9606.ENSP00000367408,"Peripheral plasma membrane protein CASK; Multidomain scaffolding protein with a role in synaptic transmembrane protein anchoring and ion channel trafficking. Contributes to neural development and regulation of gene expression via interaction with the transcription factor TBR1. Binds to cell-surface proteins, including amyloid precursor protein, neurexins and syndecans. May mediate a link between the extracellular matrix and the actin cytoskeleton via its interaction with syndecan and with the actin/spectrin-binding protein 4.1; In the N-terminal section; belongs to the protein kinase s [...] "
65,MCL,2,Orange,41,CDH22,9606.ENSP00000437790,Cadherin-22; Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. PB-cadherins may have a role in the morphological organization of pituitary gland and brain tissues (By similarity)
66,MCL,2,Orange,41,DLG1,9606.ENSP00000345731,"Disks large homolog 1; Essential multidomain scaffolding protein required for normal development (By similarity). Recruits channels, receptors and signaling molecules to discrete plasma membrane domains in polarized cells. May play a role in adherens junction assembly, signal transduction, cell proliferation, synaptogenesis and lymphocyte activation. Regulates the excitability of cardiac myocytes by modulating the functional expression of Kv4 channels. Functional regulator of Kv1.5 channel; Belongs to the MAGUK family"
67,MCL,2,Orange,41,DLG2,9606.ENSP00000365272,Disks large homolog 2; Required for perception of chronic pain through NMDA receptor signaling. Regulates surface expression of NMDA receptors in dorsal horn neurons of the spinal cord. Interacts with the cytoplasmic tail of NMDA receptor subunits as well as inward rectifying potassium channels. Involved in regulation of synaptic stability at cholinergic synapses. Part of the postsynaptic protein scaffold of excitatory synapses (By similarity); Membrane associated guanylate kinases
68,MCL,2,Orange,41,DLG4,9606.ENSP00000382428,Disks large homolog 4; Interacts with the cytoplasmic tail of NMDA receptor subunits and shaker-type potassium channels. Required for synaptic plasticity associated with NMDA receptor signaling. Overexpression or depletion of DLG4 changes the ratio of excitatory to inhibitory synapses in hippocampal neurons. May reduce the amplitude of ASIC3 acid-evoked currents by retaining the channel intracellularly. May regulate the intracellular trafficking of ADR1B (By similarity); Belongs to the MAGUK family
69,MCL,2,Orange,41,DLGAP1,9606.ENSP00000316377,Disks large-associated protein 1; Part of the postsynaptic scaffold in neuronal cells; Belongs to the SAPAP family
70,MCL,2,Orange,41,DLGAP3,9606.ENSP00000362444,Disks large-associated protein 3; May play a role in the molecular organization of synapses and neuronal cell signaling. Could be an adapter protein linking ion channel to the subsynaptic cytoskeleton. May induce enrichment of PSD-95/SAP90 at the plasma membrane; Belongs to the SAPAP family
