gene_symbol,GO_term
ABAT,(S)-3-amino-2-methylpropionate transaminase activity
ABAT,4-aminobutyrate transaminase activity
ABAT,4-aminobutyrate transaminase complex
ABAT,4-aminobutyrate:2-oxoglutarate transaminase activity
ABAT,aging
ABAT,behavioral response to cocaine
ABAT,cerebellum development
ABAT,copulation
ABAT,exploration behavior
ABAT,gamma-aminobutyric acid biosynthetic process
ABAT,gamma-aminobutyric acid catabolic process
ABAT,gamma-aminobutyric acid metabolic process
ABAT,identical protein binding
ABAT,iron-sulfur cluster binding
ABAT,locomotory behavior
ABAT,metal ion binding
ABAT,mitochondrial matrix
ABAT,mitochondrion
ABAT,mitochondrion
ABAT,mitochondrion
ABAT,negative regulation of blood pressure
ABAT,negative regulation of dopamine secretion
ABAT,negative regulation of gamma-aminobutyric acid secretion
ABAT,negative regulation of platelet aggregation
ABAT,neuron projection
ABAT,neurotransmitter catabolic process
ABAT,positive regulation of aspartate secretion
ABAT,positive regulation of dopamine metabolic process
ABAT,positive regulation of heat generation
ABAT,positive regulation of inhibitory postsynaptic potential
ABAT,positive regulation of insulin secretion
ABAT,positive regulation of prolactin secretion
ABAT,positive regulation of uterine smooth muscle contraction
ABAT,pyridoxal phosphate binding
ABAT,pyridoxal phosphate binding
ABAT,response to drug
ABAT,response to ethanol
ABAT,response to hypoxia
ABAT,response to iron ion
ABAT,response to nicotine
ABAT,succinate-semialdehyde dehydrogenase binding
ABCA10,ATP binding
ABCA10,ATPase activity
ABCA10,ATPase-coupled transmembrane transporter activity
ABCA10,integral component of membrane
ABCA10,intracellular membrane-bounded organelle
ABCA10,lipid transport
ABCA10,lipid transporter activity
ABCA10,transmembrane transport
ABCA13,ATP binding
ABCA13,ATPase-coupled transmembrane transporter activity
ABCA13,azurophil granule membrane
ABCA13,integral component of membrane
ABCA13,intracellular membrane-bounded organelle
ABCA13,lipid transport
ABCA13,lipid transporter activity
ABCA13,neutrophil degranulation
ABCA13,plasma membrane
ABCA13,secretory granule membrane
ABCA13,transmembrane transport
ABCA7,ATP binding
ABCA7,ATPase activity
ABCA7,ATPase-coupled transmembrane transporter activity
ABCA7,Golgi apparatus
ABCA7,Golgi membrane
ABCA7,amyloid-beta clearance by cellular catabolic process
ABCA7,amyloid-beta formation
ABCA7,apolipoprotein A-I receptor activity
ABCA7,apolipoprotein A-I receptor activity
ABCA7,apolipoprotein A-I-mediated signaling pathway
ABCA7,cell junction
ABCA7,cell surface
ABCA7,cholesterol efflux
ABCA7,cholesterol efflux
ABCA7,early endosome membrane
ABCA7,endoplasmic reticulum
ABCA7,floppase activity
ABCA7,glial cell projection
ABCA7,high-density lipoprotein particle assembly
ABCA7,integral component of membrane
ABCA7,intracellular membrane-bounded organelle
ABCA7,lipid transport
ABCA7,lipid transporter activity
ABCA7,memory
ABCA7,negative regulation of MAPK cascade
ABCA7,negative regulation of PERK-mediated unfolded protein response
ABCA7,negative regulation of amyloid precursor protein biosynthetic process
ABCA7,negative regulation of amyloid-beta formation
ABCA7,negative regulation of endocytosis
ABCA7,peptide cross-linking
ABCA7,phagocytic cup
ABCA7,phagocytosis
ABCA7,phosphatidylcholine floppase activity
ABCA7,phosphatidylcholine floppase activity
ABCA7,phosphatidylserine floppase activity
ABCA7,phosphatidylserine floppase activity
ABCA7,phospholipid efflux
ABCA7,phospholipid efflux
ABCA7,phospholipid efflux
ABCA7,phospholipid translocation
ABCA7,phospholipid transporter activity
ABCA7,plasma membrane
ABCA7,plasma membrane
ABCA7,plasma membrane raft organization
ABCA7,positive regulation of ERK1 and ERK2 cascade
ABCA7,positive regulation of amyloid-beta clearance
ABCA7,positive regulation of cholesterol efflux
ABCA7,positive regulation of engulfment of apoptotic cell
ABCA7,positive regulation of phagocytosis
ABCA7,positive regulation of phospholipid efflux
ABCA7,positive regulation of protein localization to cell surface
ABCA7,protein localization to nucleus
ABCA7,regulation of amyloid precursor protein catabolic process
ABCA7,regulation of lipid metabolic process
ABCA7,ruffle membrane
ABCA7,transmembrane transport
ABCA7,visual learning
ACE,amyloid-beta metabolic process
ACE,angiotensin maturation
ACE,angiotensin maturation
ACE,antigen processing and presentation of peptide antigen via MHC class I
ACE,arachidonic acid secretion
ACE,blood vessel diameter maintenance
ACE,blood vessel remodeling
ACE,bradykinin receptor binding
ACE,carboxypeptidase activity
ACE,cell proliferation in bone marrow
ACE,chloride ion binding
ACE,drug binding
ACE,endopeptidase activity
ACE,endosome
ACE,exopeptidase activity
ACE,external side of plasma membrane
ACE,extracellular exosome
ACE,extracellular exosome
ACE,extracellular region
ACE,extracellular space
ACE,extracellular space
ACE,heart contraction
ACE,hematopoietic stem cell differentiation
ACE,hormone catabolic process
ACE,hormone catabolic process
ACE,integral component of membrane
ACE,kidney development
ACE,lysosome
ACE,metallodipeptidase activity
ACE,metallopeptidase activity
ACE,metallopeptidase activity
ACE,metallopeptidase activity
ACE,metallopeptidase activity
ACE,mitogen-activated protein kinase binding
ACE,mitogen-activated protein kinase kinase binding
ACE,mononuclear cell proliferation
ACE,negative regulation of gap junction assembly
ACE,negative regulation of gene expression
ACE,negative regulation of protein binding
ACE,neutrophil mediated immunity
ACE,peptide catabolic process
ACE,peptidyl-dipeptidase activity
ACE,peptidyl-dipeptidase activity
ACE,peptidyl-dipeptidase activity
ACE,peptidyl-dipeptidase activity
ACE,plasma membrane
ACE,plasma membrane
ACE,plasma membrane
ACE,positive regulation of peptidyl-cysteine S-nitrosylation
ACE,positive regulation of peptidyl-tyrosine autophosphorylation
ACE,positive regulation of protein binding
ACE,positive regulation of protein tyrosine kinase activity
ACE,positive regulation of systemic arterial blood pressure
ACE,posttranscriptional regulation of gene expression
ACE,proteolysis
ACE,regulation of angiotensin metabolic process
ACE,regulation of blood pressure
ACE,regulation of hematopoietic stem cell proliferation
ACE,regulation of hematopoietic stem cell proliferation
ACE,regulation of renal output by angiotensin
ACE,regulation of smooth muscle cell migration
ACE,regulation of systemic arterial blood pressure by renin-angiotensin
ACE,regulation of systemic arterial blood pressure by renin-angiotensin
ACE,regulation of systemic arterial blood pressure by renin-angiotensin
ACE,regulation of vasoconstriction
ACE,spermatogenesis
ACE,tripeptidyl-peptidase activity
ACE,zinc ion binding
ACHE,Golgi apparatus
ACHE,acetylcholine binding
ACHE,acetylcholine binding
ACHE,acetylcholine catabolic process
ACHE,acetylcholine catabolic process in synaptic cleft
ACHE,acetylcholinesterase activity
ACHE,acetylcholinesterase activity
ACHE,amyloid precursor protein metabolic process
ACHE,amyloid-beta binding
ACHE,anchored component of membrane
ACHE,basement membrane
ACHE,carboxylic ester hydrolase activity
ACHE,cell adhesion
ACHE,cell surface
ACHE,cholinesterase activity
ACHE,collagen binding
ACHE,extracellular region
ACHE,extracellular region
ACHE,extracellular space
ACHE,hydrolase activity
ACHE,laminin binding
ACHE,membrane
ACHE,"negative regulation of synaptic transmission, cholinergic"
ACHE,nervous system development
ACHE,neuromuscular junction
ACHE,neurotransmitter biosynthetic process
ACHE,nucleus
ACHE,osteoblast development
ACHE,perinuclear region of cytoplasm
ACHE,phosphatidylcholine biosynthetic process
ACHE,plasma membrane
ACHE,positive regulation of cold-induced thermogenesis
ACHE,positive regulation of protein secretion
ACHE,protein binding
ACHE,protein homodimerization activity
ACHE,protein self-association
ACHE,receptor internalization
ACHE,regulation of receptor recycling
ACHE,retina development in camera-type eye
ACHE,serine hydrolase activity
ACHE,synapse
ACHE,synapse assembly
ACHE,synaptic cleft
ACTB,ATP binding
ACTB,ATP-dependent chromatin remodeling
ACTB,Fc-gamma receptor signaling pathway involved in phagocytosis
ACTB,NuA4 histone acetyltransferase complex
ACTB,NuA4 histone acetyltransferase complex
ACTB,Tat protein binding
ACTB,actin cytoskeleton
ACTB,actin filament
ACTB,adherens junction
ACTB,adherens junction assembly
ACTB,apical junction complex
ACTB,apical protein localization
ACTB,axon
ACTB,axonogenesis
ACTB,blood microparticle
ACTB,cell junction assembly
ACTB,cell motility
ACTB,cell motility
ACTB,cell-cell junction
ACTB,cellular response to cytochalasin B
ACTB,chromatin
ACTB,cytoplasm
ACTB,cytoplasm
ACTB,cytoplasm
ACTB,cytoplasmic ribonucleoprotein granule
ACTB,cytoskeleton
ACTB,cytoskeleton
ACTB,cytoskeleton
ACTB,cytosol
ACTB,dense body
ACTB,ephrin receptor signaling pathway
ACTB,establishment or maintenance of cell polarity
ACTB,extracellular exosome
ACTB,extracellular space
ACTB,focal adhesion
ACTB,glutamatergic synapse
ACTB,glutamatergic synapse
ACTB,glutamatergic synapse
ACTB,identical protein binding
ACTB,kinesin binding
ACTB,lamellipodium
ACTB,maintenance of blood-brain barrier
ACTB,membrane
ACTB,membrane
ACTB,membrane organization
ACTB,morphogenesis of a polarized epithelium
ACTB,negative regulation of protein binding
ACTB,nitric-oxide synthase binding
ACTB,nucleoplasm
ACTB,nucleosomal DNA binding
ACTB,nucleus
ACTB,plasma membrane
ACTB,plasma membrane
ACTB,platelet aggregation
ACTB,"positive regulation of gene expression, epigenetic"
ACTB,positive regulation of norepinephrine uptake
ACTB,postsynaptic actin cytoskeleton
ACTB,postsynaptic actin cytoskeleton
ACTB,postsynaptic actin cytoskeleton organization
ACTB,presynapse
ACTB,protein binding
ACTB,protein deubiquitination
ACTB,protein kinase binding
ACTB,protein kinase binding
ACTB,protein localization to adherens junction
ACTB,protein-containing complex
ACTB,protein-containing complex
ACTB,regulation of cyclin-dependent protein serine/threonine kinase activity
ACTB,regulation of norepinephrine uptake
ACTB,regulation of norepinephrine uptake
ACTB,regulation of protein localization to plasma membrane
ACTB,regulation of transepithelial transport
ACTB,regulation of transmembrane transporter activity
ACTB,regulation of transmembrane transporter activity
ACTB,retina homeostasis
ACTB,ribonucleoprotein complex
ACTB,structural constituent of cytoskeleton
ACTB,structural constituent of postsynaptic actin cytoskeleton
ACTB,structural constituent of postsynaptic actin cytoskeleton
ACTB,structural constituent of postsynaptic actin cytoskeleton
ACTB,structural constituent of postsynaptic actin cytoskeleton
ACTB,substantia nigra development
ACTB,synapse
ACTB,tau protein binding
ACTB,tight junction
ACTB,vesicle
ACTL6B,ATP-dependent chromatin remodeling
ACTL6B,NuA4 histone acetyltransferase complex
ACTL6B,SWI/SNF complex
ACTL6B,SWI/SNF complex
ACTL6B,SWI/SNF complex
ACTL6B,chromatin binding
ACTL6B,chromatin organization
ACTL6B,chromatin remodeling
ACTL6B,cytoskeleton organization
ACTL6B,dendrite development
ACTL6B,histone H4 acetylation
ACTL6B,nBAF complex
ACTL6B,nervous system development
ACTL6B,neuron maturation
ACTL6B,nucleus
ACTL6B,positive regulation of nucleic acid-templated transcription
ACTL6B,regulation of transcription by RNA polymerase II
ACTL6B,regulation of transcription by RNA polymerase II
ACTL6B,spinal cord development
ACTL6B,structural constituent of cytoskeleton
ACTL6B,transcription coactivator activity
ACTN4,RNA binding
ACTN4,RNA polymerase II transcription regulatory region sequence-specific DNA binding
ACTN4,Z disc
ACTN4,actin binding
ACTN4,actin cytoskeleton
ACTN4,actin filament binding
ACTN4,actin filament binding
ACTN4,actin filament bundle assembly
ACTN4,bicellular tight junction assembly
ACTN4,brush border
ACTN4,calcium ion binding
ACTN4,cell-cell junction
ACTN4,chromatin DNA binding
ACTN4,cortical cytoskeleton
ACTN4,cytoplasm
ACTN4,cytoplasm
ACTN4,cytosol
ACTN4,extracellular exosome
ACTN4,extracellular region
ACTN4,extracellular space
ACTN4,focal adhesion
ACTN4,integrin binding
ACTN4,ion channel binding
ACTN4,negative regulation of cellular component movement
ACTN4,negative regulation of substrate adhesion-dependent cell spreading
ACTN4,neuron projection
ACTN4,nuclear body
ACTN4,nuclear hormone receptor binding
ACTN4,nuclear receptor coactivator activity
ACTN4,nucleoside binding
ACTN4,nucleus
ACTN4,perinuclear region of cytoplasm
ACTN4,peroxisome proliferator activated receptor signaling pathway
ACTN4,platelet alpha granule lumen
ACTN4,platelet degranulation
ACTN4,positive regulation of NIK/NF-kappaB signaling
ACTN4,positive regulation of cell migration
ACTN4,positive regulation of cellular component movement
ACTN4,positive regulation of cellular component movement
ACTN4,positive regulation of nucleic acid-templated transcription
ACTN4,positive regulation of pinocytosis
ACTN4,positive regulation of sodium:proton antiporter activity
ACTN4,protein N-terminus binding
ACTN4,protein binding
ACTN4,protein homodimerization activity
ACTN4,protein localization to bicellular tight junction
ACTN4,protein transport
ACTN4,protein-containing complex
ACTN4,pseudopodium
ACTN4,regulation of apoptotic process
ACTN4,regulation of nucleic acid-templated transcription
ACTN4,response to hypoxia
ACTN4,retinoic acid receptor binding
ACTN4,retinoic acid receptor signaling pathway
ACTN4,ribonucleoprotein complex
ACTN4,stress fiber
ACTN4,transcription coactivator activity
ACTN4,tumor necrosis factor-mediated signaling pathway
ACTN4,vesicle transport along actin filament
ACY1,aminoacylase activity
ACY1,cellular amino acid metabolic process
ACY1,cytosol
ACY1,extracellular exosome
ACY1,extracellular exosome
ACY1,identical protein binding
ACY1,metal ion binding
ACY1,protein binding
ACY1,xenobiotic metabolic process
ADA,Peyer's patch development
ADA,T cell activation
ADA,T cell activation
ADA,adenosine catabolic process
ADA,adenosine catabolic process
ADA,adenosine catabolic process
ADA,adenosine deaminase activity
ADA,adenosine deaminase activity
ADA,adenosine deaminase activity
ADA,adenosine deaminase activity
ADA,aging
ADA,cell adhesion
ADA,cell junction
ADA,cell surface
ADA,cytoplasmic vesicle lumen
ADA,cytosol
ADA,cytosol
ADA,cytosol
ADA,dATP catabolic process
ADA,dendrite cytoplasm
ADA,deoxyadenosine catabolic process
ADA,embryonic digestive tract development
ADA,external side of plasma membrane
ADA,external side of plasma membrane
ADA,extracellular space
ADA,germinal center B cell differentiation
ADA,histamine secretion
ADA,hypoxanthine salvage
ADA,inosine biosynthetic process
ADA,inosine biosynthetic process
ADA,inosine biosynthetic process
ADA,liver development
ADA,lung alveolus development
ADA,lysosome
ADA,membrane
ADA,negative regulation of adenosine receptor signaling pathway
ADA,negative regulation of adenosine receptor signaling pathway
ADA,"negative regulation of circadian sleep/wake cycle, non-REM sleep"
ADA,negative regulation of inflammatory response
ADA,negative regulation of leukocyte migration
ADA,negative regulation of mature B cell apoptotic process
ADA,negative regulation of mucus secretion
ADA,negative regulation of penile erection
