ADSL,158,'de novo' AMP biosynthetic process
ADSL,158,'de novo' IMP biosynthetic process
ADSL,158,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
MBOAT7,79143,1-acylglycerol-3-phosphate O-acyltransferase activity
WDFY3,23001,1-phosphatidylinositol binding
MBOAT7,79143,2-acylglycerol-3-phosphate O-acyltransferase activity
DHCR7,1717,7-dehydrocholesterol reductase activity
ANK2,287,A band
PPP5C,5536,ADP binding
ADSL,158,AMP biosynthetic process
GRIA2,2891,AMPA glutamate receptor activity
DLG4,1742,AMPA glutamate receptor clustering
SHANK3,85358,AMPA glutamate receptor clustering
DLG4,1742,AMPA glutamate receptor complex
GRIA2,2891,AMPA glutamate receptor complex
AP2S1,1175,AP-2 adaptor complex
ATRX,546,ATP binding
BCKDK,10295,ATP binding
BRAF,673,ATP binding
BRSK2,9024,ATP binding
CASK,8573,ATP binding
CDKL5,6792,ATP binding
CHD2,1106,ATP binding
CHD3,1107,ATP binding
CHD7,55636,ATP binding
CHD8,57680,ATP binding
DDX3X,1654,ATP binding
DMPK,1760,ATP binding
DYNC1H1,1778,ATP binding
DYRK1A,1859,ATP binding
HNRNPU,3192,ATP binding
KATNAL2,83473,ATP binding
KIAA0232,9778,ATP binding
PPP5C,5536,ATP binding
PTK7,5754,ATP binding
SCN8A,6334,ATP binding
SPAST,6683,ATP binding
SRCAP,10847,ATP binding
TAOK1,57551,ATP binding
TBCK,93627,ATP binding
TLK2,11011,ATP binding
TRIO,7204,ATP binding
TEK,7010,ATP binding
ARID1B,57492,ATP-dependent chromatin remodeling
CHD3,1107,ATP-dependent chromatin remodeling
CHD8,57680,ATP-dependent chromatin remodeling
SMARCC2,6601,ATP-dependent chromatin remodeling
SRCAP,10847,ATP-dependent chromatin remodeling
DYNC1H1,1778,"ATP-dependent microtubule motor activity, minus-end-directed"
CHD3,1107,ATPase activity
DDX3X,1654,ATPase activity
KATNAL2,83473,ATPase activity
SPAST,6683,ATPase activity
SRCAP,10847,ATPase activity
ANK2,287,ATPase binding
BRSK2,9024,ATPase binding
TSC1,7248,ATPase inhibitor activity
BRSK2,9024,ATPase regulator activity
MAGEL2,54551,Arp2/3 complex-mediated actin nucleation
WDFY3,23001,Atg12-Atg5-Atg16 complex
EP300,2033,B cell differentiation
SKI,6497,BMP signaling pathway
CELF4,56853,BRE binding
PTPN11,5781,Bergmann glial cell differentiation
DNMT3A,1788,C-5 methylation of cytosine
EHMT1,79813,C2H2 zinc finger domain binding
CNOT3,4849,CCR4-NOT complex
CNOT3,4849,CCR4-NOT core complex
SATB1,6304,"CD4-positive, alpha-beta T cell differentiation"
SATB1,6304,"CD8-positive, alpha-beta T cell differentiation"
PACS1,55690,COPI-coated vesicle
CUL3,8452,COPII vesicle coating
CSDE1,7812,CRD-mediated mRNA stability complex
HNRNPU,3192,CRD-mediated mRNA stability complex
HNRNPU,3192,CRD-mediated mRNA stabilization
DDX3X,1654,CTPase activity
FMR1,2332,Cajal body
SETD5,55209,Cdc73/Paf1 complex
CUL3,8452,Cul3-RING ubiquitin ligase complex
LZTR1,8216,Cul3-RING ubiquitin ligase complex
DLG4,1742,D1 dopamine receptor binding
PTPN11,5781,D1 dopamine receptor binding
PPP1R9B,84687,D2 dopamine receptor binding
DNMT3A,1788,DNA (cytosine-5-)-methyltransferase activity
ADNP,23394,DNA binding
AHDC1,27245,DNA binding
ARID1B,57492,DNA binding
ASH1L,55870,DNA binding
ASXL3,80816,DNA binding
ATRX,546,DNA binding
BAZ2B,29994,DNA binding
CHD2,1106,DNA binding
CHD3,1107,DNA binding
CHD8,57680,DNA binding
CIC,23152,DNA binding
DDX3X,1654,DNA binding
DNMT3A,1788,DNA binding
EP300,2033,DNA binding
FOXG1,2290,DNA binding
FOXP2,93986,DNA binding
HIVEP2,3097,DNA binding
HNRNPU,3192,DNA binding
KDM5B,10765,DNA binding
KMT2C,58508,DNA binding
MBD5,55777,DNA binding
MECP2,4204,DNA binding
MEIS2,4212,DNA binding
NR4A2,4929,DNA binding
PHF21A,51317,DNA binding
POGZ,23126,DNA binding
RFX3,5991,DNA binding
SETBP1,26040,DNA binding
SIN3A,25942,DNA binding
SON,6651,DNA binding
SRCAP,10847,DNA binding
TCF4,6925,DNA binding
TSHZ3,57616,DNA binding
ZNF292,23036,DNA binding
ZNF462,58499,DNA binding
PTPN11,5781,DNA damage checkpoint
ATRX,546,"DNA damage response, signal transduction by p53 class mediator"
CNOT3,4849,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
EP300,2033,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
ATRX,546,DNA duplex unwinding
CHD2,1106,DNA duplex unwinding
CHD3,1107,DNA duplex unwinding
CHD7,55636,DNA duplex unwinding
CHD8,57680,DNA duplex unwinding
DDX3X,1654,DNA duplex unwinding
ATRX,546,DNA helicase activity
CHD2,1106,DNA helicase activity
CHD3,1107,DNA helicase activity
CHD7,55636,DNA helicase activity
CHD8,57680,DNA helicase activity
DDX3X,1654,DNA helicase activity
ATRX,546,DNA methylation
CTCF,10664,DNA methylation
DNMT3A,1788,DNA methylation
EHMT1,79813,DNA methylation
KMT2E,55904,DNA methylation
DNMT3A,1788,DNA methylation involved in embryo development
DNMT3A,1788,DNA methylation involved in gamete generation
DNMT3A,1788,DNA methylation-dependent heterochromatin assembly
ATRX,546,DNA repair
KMT5B,51111,DNA repair
PPP5C,5536,DNA repair
TAOK1,57551,DNA repair
TRIP12,9320,DNA repair
PHF21A,51317,DNA repair complex
SIN3A,25942,DNA replication
ATRX,546,DNA replication-independent nucleosome assembly
ATRX,546,DNA translocase activity
CASZ1,54897,"DNA-binding transcription activator activity, RNA polymerase II-specific"
MEIS2,4212,"DNA-binding transcription activator activity, RNA polymerase II-specific"
NR4A2,4929,"DNA-binding transcription activator activity, RNA polymerase II-specific"
PAX5,5079,"DNA-binding transcription activator activity, RNA polymerase II-specific"
RORB,6096,"DNA-binding transcription activator activity, RNA polymerase II-specific"
TCF4,6925,"DNA-binding transcription activator activity, RNA polymerase II-specific"
VEZF1,7716,"DNA-binding transcription activator activity, RNA polymerase II-specific"
BCL11A,53335,DNA-binding transcription factor activity
CTCF,10664,DNA-binding transcription factor activity
FOXP2,93986,DNA-binding transcription factor activity
NR3C2,4306,DNA-binding transcription factor activity
RORB,6096,DNA-binding transcription factor activity
SOX5,6660,DNA-binding transcription factor activity
TBR1,10716,DNA-binding transcription factor activity
TCF4,6925,DNA-binding transcription factor activity
TCF7L2,6934,DNA-binding transcription factor activity
ADNP,23394,"DNA-binding transcription factor activity, RNA polymerase II-specific"
ARX,170302,"DNA-binding transcription factor activity, RNA polymerase II-specific"
